Burns,Hurricanes
Seider,Red Wings
Raymond,Red Wings
Stützle,Senators
McDavid,Oilers
Kyle Connor,Jets
Zibanejad,Rangers
Bunting,Maple Leafs
Tarasenko,Blues
Power,Sabres
Campbell,Oilers
Guentzel,Penguins
Crosby,Penguins
Dahlin,Sabres
Andersen,Hurricanes
Addison,Wild
Slafkovsky,Canadiens
Josi,Predators
Fox,Rangers
Fleury,Wild
Marner,Maple Leafs
Markstrom,Flames
Sanderson,Senators
Caufield,Canadiens
Doughty,Kings
Buchnevich,Blues
Hellebuyck,Jets
Kopitar,Kings
Beniers,Kraken
Saros,Predators
Zuccarello,Wild
Byram,Avalanche
Hamilton,Devils
Pavelski,Stars
Toffoli,Flames
Trocheck,Rangers
Stone,Golden Knights
Eichel,Golden Knights
Pettersson,Canucks
Lindholm,Flames
Toews,Blackhawks
Lafrenière,Rangers
Heiskanen,Stars
